top - 14:41:15 up 766 days, 17:32, 12 users,  load average: 0.04, 0.04, 0.01
Tasks: 250 total,   1 running, 225 sleeping,  24 stopped,   0 zombie
Cpu(s):  1.2%us,  1.2%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  12292116k total,  5079644k used,  7212472k free,    80648k buffers
Swap: 14346036k total,  2415116k used, 11930920k free,  3138208k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                                                                                                                                                                        
    1 root      15   0 10360   88   52 S  0.0  0.0   6:25.37 init                                                                                                                                                                                                                                                           
    2 root      RT  -5     0    0    0 S  0.0  0.0   0:20.69 migration/0                                                                                                                                                                                                                                                    
    3 root      34  19     0    0    0 S  0.0  0.0   0:00.25 ksoftirqd/0                                                                                                                                                                                                                                                    
    4 root      RT  -5     0    0    0 S  0.0  0.0   0:00.00 watchdog/0                                                                                                                                                                                                                                                     
    5 root      RT  -5     0    0    0 S  0.0  0.0   0:18.06 migration/1                                                                                                                                                                                                                                                    
    6 root      34  19     0    0    0 S  0.0  0.0   0:00.75 ksoftirqd/1                                                                                                                                                                                                                                                    
    7 root      RT  -5     0    0    0 S  0.0  0.0   0:00.00 watchdog/1                                                                                                                                                                                                                                                     
    8 root      RT  -5     0    0    0 S  0.0  0.0   0:07.79 migration/2                                                                                                                                                                                                                                                    
    9 root      34  19     0    0    0 S  0.0  0.0   0:03.56 ksoftirqd/2                                                                                                                                                                                                                                                    
   10 root      RT  -5     0    0    0 S  0.0  0.0   0:00.00 watchdog/2                                                                                                                                                                                                                                                     
   11 root      RT  -5     0    0    0 S  0.0  0.0   0:06.98 migration/3                                                                                                                                                                                                                                                    
   12 root      34  19     0    0    0 S  0.0  0.0   0:01.89 ksoftirqd/3                                                                                                                                                                                                                                                    
   13 root      RT  -5     0    0    0 S  0.0  0.0   0:00.00 watchdog/3                                                                                                                                                                                                                                                     
   14 root      RT  -5     0    0    0 S  0.0  0.0   0:06.37 migration/4                                                                                                                                                                                                                                                    
   15 root      34  19     0    0    0 S  0.0  0.0   0:00.36 ksoftirqd/4                                                                                                                                                                                                                                                    
   16 root      RT  -5     0    0    0 S  0.0  0.0   0:00.00 watchdog/4                                                                                                                                                                                                                                                     
   17 root      RT  -5     0    0    0 S  0.0  0.0   0:03.99 migration/5                                                                                                                                                                                                                                                    
   18 root      34  19     0    0    0 S  0.0  0.0   0:00.97 ksoftirqd/5                                                                                                                                                                                                                                                    
   19 root      RT  -5     0    0    0 S  0.0  0.0   0:00.00 watchdog/5                                                                                                                                                                                                                                                     
   20 root      RT  -5     0    0    0 S  0.0  0.0   0:05.06 migration/6                                                                                                                                                                                                                                                    
   21 root      34  19     0    0    0 S  0.0  0.0   0:00.23 ksoftirqd/6                                                                                                                                                                                                                                                    
